"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"endothelial cell","CL:0000115","Cldn5",0,0,8.46654399236343,0.671,0.069
"endothelial cell","CL:0000115","Aqp7",0,0,8.09041959608886,0.763,0.043
"endothelial cell","CL:0000115","Btnl9",0,0,8.01880749406585,0.477,0.016
"endothelial cell","CL:0000115","Car4",0,0,7.93810210163348,0.586,0.04
"endothelial cell","CL:0000115","Timp4",0,0,7.80818782108579,0.562,0.041
"endothelial cell","CL:0000115","C1qtnf9",0,0,7.42493927759794,0.763,0.023
"endothelial cell","CL:0000115","Aqp1",0,0,7.35466572585642,0.711,0.077
"endothelial cell","CL:0000115","Gpihbp1",0,0,7.35309727745541,0.948,0.109
"endothelial cell","CL:0000115","8430408G22Rik",0,0,7.33025313881016,0.799,0.135
"endothelial cell","CL:0000115","Ly6c1",0,0,7.02713236656926,0.974,0.29
"endothelial cell","CL:0000115","Rbp7",0,0,6.92762324363249,0.483,0.023
"endothelial cell","CL:0000115","Gpr56",0,0,6.73730703183345,0.662,0.051
"endothelial cell","CL:0000115","1190002H23Rik",0,0,6.46808883434968,0.906,0.138
"endothelial cell","CL:0000115","Ushbp1",0,0,6.33930612882512,0.759,0.049
"endothelial cell","CL:0000115","Tmem88",0,0,6.27702663350727,0.89,0.157
"endothelial cell","CL:0000115","Fabp4",0,0,6.27579900509068,0.992,0.292
"endothelial cell","CL:0000115","Kdr",0,0,6.23571815489626,0.865,0.092
"endothelial cell","CL:0000115","Cd36",0,0,6.02311937361499,0.987,0.311
"endothelial cell","CL:0000115","Eltd1",0,0,6.0226040426493,0.815,0.064
"endothelial cell","CL:0000115","Myct1",0,0,5.96212576114433,0.725,0.048
"endothelial cell","CL:0000115","Clic5",0,0,5.88737802068824,0.607,0.05
"endothelial cell","CL:0000115","Robo4",0,0,5.85978427577072,0.567,0.034
"endothelial cell","CL:0000115","Arhgef15",0,0,5.65709808877372,0.615,0.03
"endothelial cell","CL:0000115","Ptprb",0,0,5.64717949414971,0.82,0.095
"endothelial cell","CL:0000115","Cyp4b1",0,0,5.58842685589592,0.647,0.093
"endothelial cell","CL:0000115","Cyyr1",0,0,5.57620804964452,0.482,0.019
"endothelial cell","CL:0000115","Sox18",0,0,5.46317413686571,0.764,0.071
"endothelial cell","CL:0000115","Ablim3",0,0,5.43607761421277,0.575,0.042
"endothelial cell","CL:0000115","Cdh5",0,0,5.39487929307827,0.942,0.075
"endothelial cell","CL:0000115","Mgll",0,0,5.38505300678628,0.946,0.248
"endothelial cell","CL:0000115","Tie1",0,0,5.276399158516,0.783,0.068
"endothelial cell","CL:0000115","1810011O10Rik",0,0,5.2729275311013,0.826,0.172
"endothelial cell","CL:0000115","Podxl",0,0,5.24135929899853,0.686,0.054
"endothelial cell","CL:0000115","Fam101b",0,0,5.1880628585055,0.701,0.11
"endothelial cell","CL:0000115","Cd300lg",0,0,5.1843196562142,0.895,0.114
"endothelial cell","CL:0000115","Flt1",0,0,5.17032390982964,0.873,0.107
"endothelial cell","CL:0000115","Tcf15",0,0,5.1480576185943,0.797,0.063
"endothelial cell","CL:0000115","Tspan13",0,0,5.1372453984221,0.952,0.258
"endothelial cell","CL:0000115","Slc28a2",0,0,5.01859393562886,0.565,0.06
"endothelial cell","CL:0000115","Rasip1",0,0,4.91480216614548,0.667,0.071
"endothelial cell","CL:0000115","Tspan7",0,0,4.90286302335426,0.873,0.247
"endothelial cell","CL:0000115","Myo10",0,0,4.82401911837155,0.647,0.11
"endothelial cell","CL:0000115","Cav1",0,0,4.68052453703932,0.961,0.341
"endothelial cell","CL:0000115","S1pr1",0,0,4.67017584640857,0.95,0.219
"endothelial cell","CL:0000115","Gpr116",0,0,4.6214154659369,0.911,0.111
"endothelial cell","CL:0000115","Ppp1r16b",0,0,4.61758361956768,0.664,0.102
"endothelial cell","CL:0000115","Egfl7",0,0,4.51882929809132,0.901,0.109
"endothelial cell","CL:0000115","Cav2",0,0,4.51575832707448,0.853,0.225
"endothelial cell","CL:0000115","Palmd",0,0,4.48671303634725,0.622,0.083
"endothelial cell","CL:0000115","Kank3",0,0,4.43069230406465,0.761,0.111
"endothelial cell","CL:0000115","Kitl",0,0,4.4033467749476,0.743,0.149
"endothelial cell","CL:0000115","Lims2",0,0,4.38024949080163,0.863,0.26
"endothelial cell","CL:0000115","Icam2",0,0,4.36064639229769,0.758,0.111
"endothelial cell","CL:0000115","Kcna5",0,0,4.2995882536865,0.542,0.043
"endothelial cell","CL:0000115","F11r",0,0,4.15828986830145,0.777,0.223
"endothelial cell","CL:0000115","Gimap6",0,0,4.15808418481393,0.85,0.172
"endothelial cell","CL:0000115","Sgk1",0,0,3.98899217368729,0.844,0.385
"endothelial cell","CL:0000115","Esam",0,0,3.87247771154415,0.885,0.183
"endothelial cell","CL:0000115","Gimap4",0,0,3.83504921168109,0.609,0.072
"endothelial cell","CL:0000115","Slc9a3r2",0,0,3.82163014066174,0.911,0.361
"endothelial cell","CL:0000115","Unc45b",0,0,3.66339951139945,0.676,0.089
"endothelial cell","CL:0000115","Jam2",0,0,3.5883287020948,0.856,0.369
"endothelial cell","CL:0000115","Ly6a",0,0,3.54338802731321,0.975,0.508
"endothelial cell","CL:0000115","Pecam1",0,0,3.51054008634844,0.89,0.173
"endothelial cell","CL:0000115","Cd93",0,0,3.46075072093375,0.838,0.174
"endothelial cell","CL:0000115","Sdpr",0,0,3.38430045889447,0.962,0.452
"endothelial cell","CL:0000115","Mmrn2",0,0,3.2723371932502,0.709,0.085
"endothelial cell","CL:0000115","Tinagl1",0,0,3.15521928965561,0.793,0.183
"endothelial cell","CL:0000115","Emcn",0,0,3.08588101496849,0.831,0.117
"endothelial cell","CL:0000115","Gng11",0,0,2.72718305711232,0.929,0.559
"endothelial cell","CL:0000115","Ly6e",0,0,2.49669138530407,0.98,0.792
"endothelial cell","CL:0000115","Gpr4",6.48896410109749e-307,1.51458911083716e-302,5.1768932387944,0.498,0.034
"endothelial cell","CL:0000115","Ecscr",4.35080306414444e-306,1.01552094320195e-301,3.84385848183269,0.614,0.097
"endothelial cell","CL:0000115","Pitpnc1",6.81914873076306e-306,1.59165750524741e-301,3.70388330399158,0.801,0.266
"endothelial cell","CL:0000115","Rasgrp3",1.95348099443007e-302,4.55961998909922e-298,4.96971951487338,0.577,0.079
"endothelial cell","CL:0000115","Srgn",1.50948874658907e-301,3.52329768341354e-297,2.53942989232857,0.808,0.274
"endothelial cell","CL:0000115","Aplnr",2.0253577474306e-299,4.72738751827776e-295,7.83268742962289,0.449,0.022
"endothelial cell","CL:0000115","Apold1",4.31886530899426e-294,1.00806635177235e-289,3.88939364211369,0.645,0.122
"endothelial cell","CL:0000115","Ceacam1",2.16342706637455e-292,5.04965511562484e-288,5.19065707759434,0.583,0.095
"endothelial cell","CL:0000115","Mcf2l",1.41038469249217e-291,3.29197891074597e-287,5.63804951695636,0.442,0.021
"endothelial cell","CL:0000115","Ctla2a",9.65475986470574e-290,2.25351750002097e-285,2.601488600718,0.643,0.113
"endothelial cell","CL:0000115","Meox2",2.46262581582444e-286,5.74801491671582e-282,4.78864159452777,0.539,0.069
"endothelial cell","CL:0000115","Sox17",2.18278532094717e-283,5.09483921762279e-279,6.79769843649295,0.443,0.027
"endothelial cell","CL:0000115","Calm1",7.74454149248074e-280,1.80765342975993e-275,1.61306188066807,0.99,0.958
"endothelial cell","CL:0000115","Itga6",1.59094327024612e-278,3.71342068708147e-274,4.65503617899887,0.589,0.103
"endothelial cell","CL:0000115","Eng",3.38654418899073e-277,7.90453279152325e-273,2.20162699704273,0.924,0.639
"endothelial cell","CL:0000115","Pde2a",5.28060308484236e-277,1.23254556603306e-272,4.87333063561931,0.517,0.061
"endothelial cell","CL:0000115","Slc26a10",3.94603957179362e-275,9.21045096452349e-271,6.86679919414741,0.432,0.026
"endothelial cell","CL:0000115","Hspa12b",1.06152235608187e-269,2.4776993313307e-265,4.59245310442,0.551,0.082
"endothelial cell","CL:0000115","Tmsb4x",7.45085068016628e-269,1.73910305725761e-264,1.35928246034453,0.998,0.987
"endothelial cell","CL:0000115","Nrp1",2.50178822719684e-266,5.83942390110015e-262,2.43596074867919,0.941,0.792
"endothelial cell","CL:0000115","Thrsp",4.68784715698272e-264,1.09419040491134e-259,6.38115433959529,0.45,0.04
"endothelial cell","CL:0000115","Ets1",1.8980226928472e-260,4.43017476737464e-256,3.19182179366204,0.816,0.37
"endothelial cell","CL:0000115","Jup",1.90446550437259e-259,4.44521293375606e-255,2.81864048739303,0.914,0.641
"endothelial cell","CL:0000115","Ptrf",5.59960822508334e-258,1.3070045558167e-253,1.93025326180361,0.975,0.85
"endothelial cell","CL:0000115","Nos3",9.47884106906097e-257,2.21245629392952e-252,3.18281951001574,0.508,0.059
"endothelial cell","CL:0000115","Abcb1a",1.30439755558244e-251,3.04459433448497e-247,5.41307443038191,0.412,0.027
"endothelial cell","CL:0000115","Mir126",7.59566044842444e-249,1.77290310526675e-244,3.42561332219807,0.416,0.029
"endothelial cell","CL:0000115","AW112010",8.25686834212862e-249,1.92723563973624e-244,3.38214859160958,0.732,0.284
"endothelial cell","CL:0000115","Cmtm8",2.60934240433127e-248,6.09046610594961e-244,5.511150585547,0.421,0.034
"endothelial cell","CL:0000115","B2m",1.54759444669182e-247,3.61224019802337e-243,1.36655640808599,0.993,0.983
"endothelial cell","CL:0000115","Scarb1",9.97628671256644e-246,2.32856508158013e-241,4.55495396610367,0.555,0.109
"endothelial cell","CL:0000115","Epas1",1.5982272873136e-244,3.73042231131868e-240,2.9498728188129,0.862,0.435
"endothelial cell","CL:0000115","Etl4",2.82143195413514e-243,6.58550432414683e-239,4.214630773965,0.488,0.063
"endothelial cell","CL:0000115","Sema7a",4.64269803684826e-243,1.08365214878075e-238,4.15546586133507,0.377,0.017
"endothelial cell","CL:0000115","Cd38",6.0033292095772e-243,1.40123707080741e-238,3.80915697757847,0.583,0.122
"endothelial cell","CL:0000115","Cd200",5.44372146421693e-238,1.27061902696287e-233,2.98294236427768,0.807,0.373
"endothelial cell","CL:0000115","Sh2d3c",3.15644929324741e-236,7.36746829536878e-232,3.83478685420031,0.57,0.118
"endothelial cell","CL:0000115","Snrk",1.31952470509921e-233,3.07990261417206e-229,2.94647659140314,0.824,0.431
"endothelial cell","CL:0000115","Cdh13",1.1133674438703e-232,2.59871095073767e-228,3.69889789846694,0.556,0.113
"endothelial cell","CL:0000115","Cxcl12",1.597479207313e-231,3.72867621778927e-227,2.56956131006652,0.885,0.543
"endothelial cell","CL:0000115","Fli1",9.1123166544468e-231,2.12690583031443e-226,2.93787491469308,0.801,0.357
"endothelial cell","CL:0000115","Afap1l1",4.93078172645622e-230,1.15089376277215e-225,4.09912896358285,0.523,0.095
"endothelial cell","CL:0000115","Dusp3",3.18584119196811e-228,7.43607192617276e-224,2.4234952575014,0.935,0.747
"endothelial cell","CL:0000115","Id1",4.69885060652802e-227,1.0967587200697e-222,2.79082919159164,0.759,0.314
"endothelial cell","CL:0000115","Ccdc85a",7.87387530037446e-225,1.8378412338604e-220,6.34440541161688,0.324,0.008
"endothelial cell","CL:0000115","Sparcl1",4.47933162404249e-224,1.04552079436776e-219,1.59646421001871,0.962,0.746
"endothelial cell","CL:0000115","Efnb2",1.16447297940931e-222,2.71799638123926e-218,4.29879471741574,0.452,0.058
"endothelial cell","CL:0000115","Arhgap31",4.45551066152935e-222,1.03996074350757e-217,3.25931744725354,0.7,0.244
"endothelial cell","CL:0000115","Ctnnbip1",5.83858148340272e-222,1.36278330404103e-217,3.83866306333316,0.599,0.162
"endothelial cell","CL:0000115","Gngt2",1.30639614700886e-218,3.04925924673339e-214,3.4913300502323,0.592,0.156
"endothelial cell","CL:0000115","Tmem204",2.33073302049932e-215,5.44016394314745e-211,2.58072174729151,0.784,0.385
"endothelial cell","CL:0000115","Dll4",8.23479058735386e-215,1.92208247099427e-210,5.54911654598876,0.364,0.025
"endothelial cell","CL:0000115","Clec1a",2.81414780685017e-211,6.56850239596897e-207,4.97743127048681,0.402,0.043
"endothelial cell","CL:0000115","Fabp5",3.79552788295794e-211,8.85914163161213e-207,1.51079944417703,0.764,0.335
"endothelial cell","CL:0000115","Rsad2",1.07369288186238e-207,2.50610655555498e-203,5.03121126914123,0.416,0.053
"endothelial cell","CL:0000115","Fam70b",4.59531173423505e-207,1.0725917118878e-202,6.34388191584212,0.327,0.016
"endothelial cell","CL:0000115","Dock9",2.02728535748412e-206,4.73188675290369e-202,3.85777561132805,0.485,0.085
"endothelial cell","CL:0000115","H2-D1",3.8050185605186e-202,8.88129382210646e-198,1.20605091107594,0.99,0.982
"endothelial cell","CL:0000115","BC017612",3.31353851276726e-198,7.73413024265006e-194,3.60868286128867,0.607,0.201
"endothelial cell","CL:0000115","Elk3",9.45716113487401e-197,2.20739598049094e-192,3.31578364656903,0.691,0.29
"endothelial cell","CL:0000115","Pdgfb",1.12132434556907e-196,2.61728315499276e-192,4.43718566338083,0.409,0.053
"endothelial cell","CL:0000115","Bcam",2.90467811437822e-195,6.7798091867702e-191,2.4185412261766,0.68,0.247
"endothelial cell","CL:0000115","Itga1",1.14703811451414e-192,2.67730166308745e-188,3.00426621224396,0.619,0.187
"endothelial cell","CL:0000115","Mmp15",1.26507570414392e-192,2.95281320104232e-188,4.22914450084014,0.404,0.052
"endothelial cell","CL:0000115","Mllt4",6.1517853284171e-192,1.43588821350584e-187,3.55715745705443,0.751,0.369
"endothelial cell","CL:0000115","Flt4",3.55563866968232e-191,8.29921621890551e-187,4.18634662186355,0.385,0.045
"endothelial cell","CL:0000115","Fscn1",4.36153393956306e-186,1.01802563683341e-181,3.68585766268844,0.57,0.169
"endothelial cell","CL:0000115","Ehd2",4.40064454298417e-186,1.02715444277794e-181,2.30767620462188,0.856,0.611
"endothelial cell","CL:0000115","Rassf9",6.74170462639597e-184,1.57358127684708e-179,5.48062126452306,0.321,0.024
"endothelial cell","CL:0000115","Hspb1",6.90252490173702e-184,1.61111833731444e-179,1.97326562680618,0.87,0.63
"endothelial cell","CL:0000115","Gata2",1.3115065074945e-183,3.06118733914292e-179,3.49993831837518,0.411,0.06
"endothelial cell","CL:0000115","Grrp1",8.94199414874748e-183,2.08715085425915e-178,6.03752119485111,0.273,0.008
"endothelial cell","CL:0000115","Trp53i11",2.50511185021561e-182,5.84718156958827e-178,4.27524202629191,0.464,0.098
"endothelial cell","CL:0000115","Col4a2",8.28344507659251e-181,1.93343891532746e-176,2.42843831375773,0.828,0.497
"endothelial cell","CL:0000115","Fmo1",1.00734176267355e-180,2.35123640825632e-176,3.6416080888499,0.624,0.236
"endothelial cell","CL:0000115","Notch4",1.02203852028625e-179,2.38554011020014e-175,4.19468443340569,0.353,0.037
"endothelial cell","CL:0000115","Tm4sf1",2.20152104125623e-179,5.13857026239617e-175,1.33982886195738,0.892,0.657
"endothelial cell","CL:0000115","BC020535",7.80295570062542e-178,1.82128789008298e-173,4.67460575174998,0.298,0.018
"endothelial cell","CL:0000115","Slfn5",2.97469278768061e-177,6.94323043572531e-173,2.8081115429172,0.785,0.456
"endothelial cell","CL:0000115","Sema6a",4.70399358682573e-177,1.09795914310099e-172,3.73414390714152,0.478,0.104
"endothelial cell","CL:0000115","Gimap1",3.30483139354193e-176,7.71380695566621e-172,3.42058068811657,0.437,0.081
"endothelial cell","CL:0000115","Nrp2",1.00532405096849e-175,2.34652686736556e-171,3.98413422938251,0.453,0.091
"endothelial cell","CL:0000115","Tgtp1",2.29379110997995e-174,5.3539378298042e-170,5.84895600234561,0.301,0.021
"endothelial cell","CL:0000115","Gja1",3.84911796634483e-174,8.98422624524546e-170,3.19215166807604,0.671,0.287
"endothelial cell","CL:0000115","4930578C19Rik",1.08033171362738e-173,2.52160225277768e-169,5.98392509792503,0.254,0.006
"endothelial cell","CL:0000115","Prkch",3.53512050583493e-171,8.2513247726693e-167,3.61307207110017,0.421,0.075
"endothelial cell","CL:0000115","Adcy4",8.62593944292484e-167,2.01338052537309e-162,3.72183732740214,0.45,0.097
"endothelial cell","CL:0000115","Arap3",7.75346975082868e-164,1.80973737454092e-159,3.38687976525022,0.385,0.059
"endothelial cell","CL:0000115","Ets2",2.24488688394167e-163,5.23979047580826e-159,3.1266925472008,0.641,0.26
"endothelial cell","CL:0000115","Spnb2",4.45340358496673e-163,1.03946893076708e-158,1.55400239216214,0.957,0.867
"endothelial cell","CL:0000115","Rapgef3",1.31361452189494e-162,3.06610765555499e-158,4.42693305947144,0.383,0.064
"endothelial cell","CL:0000115","Ybx1",8.5913016915265e-162,2.0052957278192e-157,1.34477812748399,0.935,0.936
"endothelial cell","CL:0000115","Apbb2",1.47271731306175e-161,3.43746948041742e-157,3.00664465795069,0.629,0.247
"endothelial cell","CL:0000115","Pcdh17",8.19980781293238e-161,1.91391714161655e-156,5.70393749445253,0.261,0.013
"endothelial cell","CL:0000115","Bcl6b",1.50977435811685e-159,3.52396432928055e-155,4.45105127773526,0.282,0.02
"endothelial cell","CL:0000115","Sox7",9.49313746438737e-158,2.21579321556266e-153,3.34352892918345,0.52,0.153
"endothelial cell","CL:0000115","Erg",1.94371957941743e-157,4.53683587031823e-153,4.17295217048933,0.306,0.03
"endothelial cell","CL:0000115","Slc6a6",6.30350886538262e-157,1.47130200426896e-152,3.9333114544292,0.621,0.27
"endothelial cell","CL:0000115","Pcdh12",2.51843106634887e-156,5.87826995196489e-152,4.18644298882213,0.259,0.014
"endothelial cell","CL:0000115","Galntl4",2.75728639922862e-156,6.43578218443951e-152,4.27631429709008,0.344,0.048
"endothelial cell","CL:0000115","Jag2",3.10336685475608e-156,7.24356857568616e-152,4.03430946746286,0.252,0.012
"endothelial cell","CL:0000115","N4bp3",1.17375063453989e-155,2.73965135607956e-151,5.36892752011122,0.277,0.021
"endothelial cell","CL:0000115","H2-K1",1.3070557166018e-155,3.05079874812026e-151,1.39973864697445,0.964,0.926
"endothelial cell","CL:0000115","Klf2",1.99528903509388e-155,4.65720413681264e-151,2.06892374036147,0.861,0.623
"endothelial cell","CL:0000115","Plk2",1.3763630546696e-154,3.21256900590432e-150,3.51234331920823,0.462,0.117
"endothelial cell","CL:0000115","Pparg",8.28718206678102e-150,1.93431116620736e-145,4.3789762750778,0.333,0.047
"endothelial cell","CL:0000115","Ldb2",2.01080896946239e-148,4.69342921562217e-144,3.54811644355632,0.342,0.05
"endothelial cell","CL:0000115","Pik3c2b",7.03982967927923e-146,1.64316664544057e-141,2.88337049968837,0.533,0.165
"endothelial cell","CL:0000115","2810025M15Rik",9.63840062803728e-145,2.24969909059018e-140,3.30441049597432,0.528,0.182
"endothelial cell","CL:0000115","Fnbp1l",3.55526156469124e-143,8.29833601814583e-139,3.33519363099856,0.491,0.147
"endothelial cell","CL:0000115","Tnfaip1",6.63334297803366e-143,1.54828858450284e-138,2.5560373178868,0.715,0.41
"endothelial cell","CL:0000115","Tgtp2",1.02623235680373e-139,2.39532894401559e-135,3.80061268659061,0.418,0.102
"endothelial cell","CL:0000115","Clec14a",1.03002746712096e-139,2.40418711100702e-135,3.18367067790969,0.471,0.135
"endothelial cell","CL:0000115","Gbp4",1.13951241317641e-138,2.65973592359505e-134,4.48747492858108,0.286,0.032
"endothelial cell","CL:0000115","Cd81",1.3923677196782e-138,3.24992549450089e-134,0.985663900439334,0.977,0.976
"endothelial cell","CL:0000115","2610305D13Rik",9.04781640345452e-137,2.11185082673032e-132,3.92306356237665,0.342,0.06
"endothelial cell","CL:0000115","Rapgef4",9.09036542408742e-136,2.12178219363625e-131,3.8843732056375,0.321,0.049
"endothelial cell","CL:0000115","Car8",3.06254944885722e-135,7.14829666857764e-131,2.99516194211009,0.507,0.173
"endothelial cell","CL:0000115","Thbd",1.67715649285871e-134,3.91465096998152e-130,2.46186897638957,0.715,0.41
"endothelial cell","CL:0000115","Nrarp",5.20536096363153e-133,1.21498330252123e-128,3.62054359420716,0.28,0.032
"endothelial cell","CL:0000115","Dysf",1.92048557314225e-132,4.48260537627133e-128,3.60886250049833,0.309,0.045
"endothelial cell","CL:0000115","Pcdh1",2.56223422811386e-132,5.98051091184056e-128,3.2147467631006,0.342,0.06
"endothelial cell","CL:0000115","She",7.79961095521319e-132,1.82050719305631e-127,4.27840381143158,0.276,0.032
"endothelial cell","CL:0000115","Eepd1",8.1839565731887e-132,1.91021730374797e-127,4.00570829614418,0.342,0.064
"endothelial cell","CL:0000115","Gimap5",1.31634643915596e-131,3.07248422363392e-127,3.63786126715274,0.305,0.044
"endothelial cell","CL:0000115","Ccdc85b",4.18868498518375e-131,9.7768096239174e-127,2.4522008245321,0.65,0.368
"endothelial cell","CL:0000115","Arhgap18",1.22808378980718e-130,2.86647037378893e-126,3.23566351793777,0.485,0.159
"endothelial cell","CL:0000115","Plcb4",2.17916537631409e-130,5.08638990485471e-126,3.42859556945888,0.487,0.16
"endothelial cell","CL:0000115","Tcf4",2.84137280468802e-130,6.6320482634223e-126,1.60764710449476,0.937,0.856
"endothelial cell","CL:0000115","Tspan15",3.03450562416711e-129,7.08283957736845e-125,2.87300216212194,0.359,0.071
"endothelial cell","CL:0000115","Nes",9.47359869319155e-129,2.21123267097784e-124,3.18017632732867,0.418,0.108
"endothelial cell","CL:0000115","Itpkb",1.1634145833293e-128,2.71552597894892e-124,3.17611589384538,0.419,0.108
"endothelial cell","CL:0000115","Mall",7.84031742207605e-127,1.83000848948677e-122,3.25316452010974,0.281,0.036
"endothelial cell","CL:0000115","Tpm4",3.68155184346902e-125,8.59311015784103e-121,1.59063554317877,0.888,0.836
"endothelial cell","CL:0000115","Wt1",2.52311446899846e-124,5.88920148208931e-120,3.86357917497476,0.255,0.027
"endothelial cell","CL:0000115","Efcab4a",7.96866281402929e-124,1.85996558742258e-119,2.77608269156076,0.448,0.135
"endothelial cell","CL:0000115","Fgd5",1.23748473365908e-123,2.88841311683365e-119,3.28582732246304,0.393,0.095
"endothelial cell","CL:0000115","Lipe",1.53102950072348e-123,3.57357595763867e-119,3.54635771334529,0.438,0.131
"endothelial cell","CL:0000115","Col4a1",7.62409613845651e-123,1.77954027967713e-118,1.84402426719234,0.854,0.629
"endothelial cell","CL:0000115","Arhgap29",1.78478975410317e-122,4.16587776505221e-118,2.49903266844499,0.598,0.259
"endothelial cell","CL:0000115","Ednrb",4.54056917825458e-122,1.0598142518964e-117,1.43459486469612,0.44,0.118
"endothelial cell","CL:0000115","Tbx3",3.78368725373554e-120,8.83150441894412e-116,3.51185990397246,0.297,0.048
"endothelial cell","CL:0000115","Lnx1",6.60977813087268e-120,1.54278831352699e-115,3.5705540185229,0.364,0.079
"endothelial cell","CL:0000115","Caskin2",9.90445665756605e-120,2.31179922844249e-115,3.12497780114853,0.411,0.112
"endothelial cell","CL:0000115","Ndrg1",1.54758948013973e-119,3.61222860559414e-115,3.0236759568903,0.483,0.171
"endothelial cell","CL:0000115","Ggta1",5.38972581895986e-119,1.25801590340342e-114,3.46112293364944,0.373,0.089
"endothelial cell","CL:0000115","Dok4",4.41496199411931e-118,1.03049627904739e-113,3.95690612957445,0.311,0.059
"endothelial cell","CL:0000115","Ppm1f",1.17316555332882e-117,2.73828571802481e-113,3.59515986405183,0.351,0.078
"endothelial cell","CL:0000115","Tnfsf10",3.82977331734028e-116,8.93907390000395e-112,3.31821719016886,0.308,0.054
"endothelial cell","CL:0000115","Il2rg",6.49416011242726e-116,1.51580191184165e-111,2.55776934647533,0.453,0.152
"endothelial cell","CL:0000115","Gnai2",1.42085519197759e-115,3.3164181035949e-111,1.28550934949138,0.929,0.897
"endothelial cell","CL:0000115","Efnb1",2.60967588298889e-114,6.09124447848438e-110,3.56966522001928,0.449,0.147
"endothelial cell","CL:0000115","Rapgef1",2.76953562622287e-114,6.4643731051668e-110,3.23178299864143,0.539,0.231
"endothelial cell","CL:0000115","H2-Q6",6.77064959086897e-114,1.58033732100473e-109,3.28068781104867,0.345,0.08
"endothelial cell","CL:0000115","Plxnd1",1.05227573195234e-113,2.45611678594996e-109,2.57789434157128,0.466,0.152
"endothelial cell","CL:0000115","Abi3",1.94393191398645e-113,4.53733148043576e-109,3.03146694605586,0.398,0.11
"endothelial cell","CL:0000115","B3gnt3",3.45199511685717e-111,8.05730180225632e-107,3.59547517365183,0.268,0.04
"endothelial cell","CL:0000115","Cdkn1a",3.2918157365896e-110,7.68342711077378e-106,1.73725294714038,0.801,0.615
"endothelial cell","CL:0000115","4931406P16Rik",4.29281572550138e-110,1.00198611848928e-105,2.87104050679317,0.526,0.223
"endothelial cell","CL:0000115","Lrrc8c",2.27653108808685e-108,5.31365121270353e-104,2.96135903994092,0.466,0.168
"endothelial cell","CL:0000115","Ptprm",3.99424458838711e-107,9.32296629375436e-103,3.26738646354642,0.428,0.137
"endothelial cell","CL:0000115","Pdgfd",5.64442268513914e-107,1.31746469893833e-102,3.24501143865235,0.391,0.113
"endothelial cell","CL:0000115","Ramp2",1.49457988253991e-106,3.4884989038364e-102,1.56356264515615,0.786,0.604
"endothelial cell","CL:0000115","Notch1",5.68055225812655e-106,1.32589770256932e-101,2.13742489146088,0.665,0.379
"endothelial cell","CL:0000115","Trim37",1.50652367871838e-105,3.51637691849658e-101,2.08017625415694,0.446,0.147
"endothelial cell","CL:0000115","Pkp4",4.57771539496645e-104,1.06848455033912e-99,3.47583762257748,0.393,0.118
"endothelial cell","CL:0000115","Plscr2",5.05439117373308e-104,1.17974544386104e-99,3.94265544096735,0.303,0.066
"endothelial cell","CL:0000115","Rassf3",1.16914068099521e-103,2.72889126351091e-99,2.66001049351895,0.452,0.153
"endothelial cell","CL:0000115","Mfng",1.93239177499063e-103,4.51039564200562e-99,3.97988539615001,0.286,0.057
"endothelial cell","CL:0000115","9430020K01Rik",4.22222444121528e-103,9.85509406824058e-99,2.61318068921491,0.602,0.309
"endothelial cell","CL:0000115","Trib2",1.55866689329746e-102,3.6380843956456e-98,2.65782703208607,0.363,0.097
"endothelial cell","CL:0000115","Lmcd1",1.95421280249653e-102,4.56132810230716e-98,3.13524895389908,0.352,0.095
"endothelial cell","CL:0000115","Akap2",1.96162389959508e-101,4.57862634404487e-97,1.78441042829337,0.818,0.608
"endothelial cell","CL:0000115","Mcc",2.39496550260174e-99,5.59008897962271e-95,3.07599588055313,0.45,0.165
"endothelial cell","CL:0000115","Lmo7",4.24541392912435e-99,9.90922065196914e-95,2.82259966752442,0.305,0.065
"endothelial cell","CL:0000115","Efr3b",6.24467168069327e-99,1.45756881699062e-94,3.98393892305272,0.285,0.058
"endothelial cell","CL:0000115","Scarf1",9.1990395885051e-99,2.14714783035298e-94,3.54194284360994,0.285,0.058
"endothelial cell","CL:0000115","Gbp9",5.2018298090188e-98,1.21415909572308e-93,3.3093684641097,0.307,0.069
"endothelial cell","CL:0000115","Rnf125",1.45873497809676e-97,3.40483331237565e-93,3.05113469287924,0.363,0.105
"endothelial cell","CL:0000115","Prkd2",6.14140505439158e-97,1.43346535374554e-92,3.12917317285746,0.385,0.119
"endothelial cell","CL:0000115","Flnb",2.06092193569759e-96,4.81039789011174e-92,2.97648333927969,0.391,0.124
"endothelial cell","CL:0000115","Rac1",3.30047324348482e-96,7.70363459761792e-92,1.28146792585122,0.887,0.902
"endothelial cell","CL:0000115","Tek",5.28689432433138e-96,1.23401400424219e-91,2.04009109362104,0.637,0.324
"endothelial cell","CL:0000115","Tsc22d1",7.84633336976263e-96,1.8314126718363e-91,1.92552269506375,0.758,0.606
"endothelial cell","CL:0000115","Aplp2",2.82137913364835e-95,6.58538103584861e-91,1.23003274122262,0.883,0.86
"endothelial cell","CL:0000115","Efna1",5.19504141595756e-95,1.21257461689865e-90,2.89804353925304,0.398,0.133
"endothelial cell","CL:0000115","Plekhg1",8.90162140775298e-95,2.07772745278362e-90,3.35773654552311,0.308,0.074
