"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"macrophage","CL:0000235","Lilrb4",3.28610993383446e-84,7.670109196563e-80,7.06973783411413,0.892,0.015
"macrophage","CL:0000235","Fcgr4",3.53501930684849e-83,8.25108856411507e-79,9.18297716569776,0.784,0.004
"macrophage","CL:0000235","Slamf9",8.06528564055223e-81,1.8825183213613e-76,8.46511654581297,0.892,0.019
"macrophage","CL:0000235","Lilra5",4.70187511145829e-80,1.09746466976548e-75,9.42632781786335,0.757,0.004
"macrophage","CL:0000235","Bcl2a1b",6.72757238432037e-80,1.57028267022422e-75,6.96183815940749,0.838,0.012
"macrophage","CL:0000235","Ms4a7",2.01155020716426e-76,4.69515933854211e-72,8.82011901941638,0.703,0.002
"macrophage","CL:0000235","Bcl2a1d",3.29428328220261e-76,7.68918660898911e-72,6.51331222151662,0.703,0.002
"macrophage","CL:0000235","Cybb",9.36988101068759e-76,2.18702392670459e-71,7.59541112882505,0.919,0.029
"macrophage","CL:0000235","Lst1",7.29156708993305e-75,1.70192467446127e-70,6.73129734719772,0.811,0.015
"macrophage","CL:0000235","Sfpi1",3.11738834376564e-74,7.27629613318337e-70,8.57783628420324,0.973,0.041
"macrophage","CL:0000235","Basp1",1.16350255184167e-72,2.71573130625363e-68,6.93702199458119,0.865,0.025
"macrophage","CL:0000235","Emr1",1.79806920870757e-71,4.19687334004433e-67,10.2754751536923,0.811,0.019
"macrophage","CL:0000235","A430084P05Rik",2.48211524381849e-71,5.79350519059673e-67,8.92462880784737,0.703,0.006
"macrophage","CL:0000235","Mgl2",4.51978384010132e-71,1.05496274611805e-66,10.0936510821627,0.757,0.012
"macrophage","CL:0000235","Klra2",1.1489534773502e-70,2.6817723114831e-66,8.50541172991795,0.676,0.004
"macrophage","CL:0000235","Gp49a",1.40841207967343e-70,3.28737463516575e-66,5.05767293913375,0.703,0.006
"macrophage","CL:0000235","Fyb",2.23378441339714e-70,5.21387619931027e-66,4.38879257402725,0.919,0.033
"macrophage","CL:0000235","Ms4a6c",2.85802324147663e-69,6.67091204793061e-65,6.76792811121589,0.811,0.021
"macrophage","CL:0000235","Gpr65",3.93269732770182e-69,9.17930883258882e-65,7.42607386693447,0.73,0.01
"macrophage","CL:0000235","Gm11428",5.1010068154016e-68,1.19062600078289e-63,4.49569303225452,0.757,0.015
"macrophage","CL:0000235","Aif1",1.14946150028164e-67,2.68295808780738e-63,6.2073914898448,0.838,0.027
"macrophage","CL:0000235","Cd300ld",1.6801366140887e-67,3.92160687094443e-63,6.35614707432402,0.676,0.006
"macrophage","CL:0000235","Slamf7",4.59898122155196e-67,1.07344820692244e-62,7.78362211118823,0.622,0.002
"macrophage","CL:0000235","Hck",3.85372467448507e-66,8.9949787627156e-62,7.27300465456512,0.784,0.021
"macrophage","CL:0000235","Il10ra",4.19888973131488e-66,9.80062852186206e-62,7.44165757508646,0.784,0.021
"macrophage","CL:0000235","Csf2ra",8.99878246807146e-65,2.10040581587256e-60,6.90455087652984,0.811,0.027
"macrophage","CL:0000235","Mmp13",8.52297920405332e-64,1.98934857601809e-59,9.93281226481564,0.568,0
"macrophage","CL:0000235","Arrb2",2.36076316050983e-63,5.51025729294599e-59,4.04452412512982,0.784,0.023
"macrophage","CL:0000235","Mpeg1",1.93297951432457e-62,4.51176748438498e-58,8.5805611095635,0.865,0.041
"macrophage","CL:0000235","AI607873",1.31651121716116e-61,3.07286883197586e-57,5.81843595830951,0.865,0.039
"macrophage","CL:0000235","Cd52",1.72159432172924e-61,4.01837330634822e-57,4.86038631272681,1,0.066
"macrophage","CL:0000235","Cd72",2.41100519334197e-61,5.62752722177949e-57,6.30344804774891,0.73,0.019
"macrophage","CL:0000235","Apobec1",5.74959167398511e-61,1.34201219262487e-56,5.51027583166389,0.757,0.023
"macrophage","CL:0000235","Nckap1l",7.78441207876844e-61,1.81695962330534e-56,5.74635438650367,0.811,0.031
"macrophage","CL:0000235","Plek",9.47784730150321e-60,2.21222433864386e-55,4.9927796041317,0.865,0.044
"macrophage","CL:0000235","Alox5ap",6.65648404893397e-59,1.55368994186168e-54,5.29885105995874,0.892,0.054
"macrophage","CL:0000235","Plbd1",1.05590727529372e-58,2.46459317126307e-54,6.26462708081546,0.865,0.048
"macrophage","CL:0000235","H2-DMa",9.78542963295833e-58,2.2840171306288e-53,5.69534580741427,1,0.085
"macrophage","CL:0000235","Slc15a3",1.75234160590527e-57,4.09014054234348e-53,4.57650859292549,0.73,0.023
"macrophage","CL:0000235","Ccl4",2.08979238041538e-57,4.87778439512754e-53,6.2284140159168,0.676,0.017
"macrophage","CL:0000235","Glipr1",1.50738079278066e-56,3.51837750842933e-52,8.08776063133512,0.595,0.008
"macrophage","CL:0000235","Clec4a2",2.43185260676602e-56,5.67618716945257e-52,6.59199938353554,0.595,0.008
"macrophage","CL:0000235","AF251705",8.88817199011708e-56,2.07458822421323e-51,8.35900761566098,0.811,0.044
"macrophage","CL:0000235","Siglece",1.27454363140838e-55,2.97491229007031e-51,7.23986849497807,0.622,0.012
"macrophage","CL:0000235","Lilrb3",1.52628995097248e-55,3.56251337456486e-51,7.94477650912642,0.622,0.012
"macrophage","CL:0000235","Clec4b1",2.56881055949169e-55,5.99586072690954e-51,5.06388921774453,0.568,0.006
"macrophage","CL:0000235","Irf5",2.70821060992315e-55,6.32123438462164e-51,6.81221145377993,0.784,0.037
"macrophage","CL:0000235","Clec4a1",1.24757859600424e-54,2.91197320093351e-50,6.92330402653383,0.486,0
"macrophage","CL:0000235","Axl",1.73445667671884e-54,4.04839532912944e-50,5.16604387695846,0.811,0.041
"macrophage","CL:0000235","Lrrc25",1.25849020200167e-53,2.9374419804921e-49,7.80876733364564,0.568,0.008
"macrophage","CL:0000235","Pid1",1.39645942553391e-53,3.25947594513871e-49,6.21194074019448,0.784,0.039
"macrophage","CL:0000235","Clec4a3",2.36090359333777e-53,5.5105850772097e-49,8.40461928027392,0.649,0.019
"macrophage","CL:0000235","Tlr2",5.80744613184007e-53,1.35551600163279e-48,5.18165868115768,0.703,0.025
"macrophage","CL:0000235","5430435G22Rik",7.51295700115352e-53,1.75359929363924e-48,4.99350169062147,0.676,0.023
"macrophage","CL:0000235","Tyrobp",1.03567159453296e-52,2.41736106879938e-48,6.467172455277,1,0.108
"macrophage","CL:0000235","Hcls1",5.21721450865101e-52,1.21775003846423e-47,5.3392619872659,0.892,0.068
"macrophage","CL:0000235","Cd86",7.99184861135726e-52,1.8653773843769e-47,4.69648019976234,0.703,0.029
"macrophage","CL:0000235","Itgax",9.3407417412829e-52,2.18022252983284e-47,6.54534652288591,0.514,0.004
"macrophage","CL:0000235","Bcl2a1a",1.29970848101675e-51,3.03364956554119e-47,6.10189030822877,0.486,0.002
"macrophage","CL:0000235","Gm6377",1.52395279418042e-51,3.55705821689652e-47,5.28346036960079,0.486,0.002
"macrophage","CL:0000235","Runx1",1.00382412520985e-50,2.34302589065231e-46,5.93887953731229,0.703,0.029
"macrophage","CL:0000235","Cd14",1.2366305900884e-50,2.88641946032533e-46,6.7549222089864,0.946,0.095
"macrophage","CL:0000235","Ly86",1.75665098492474e-50,4.10019906391284e-46,6.17376317303592,0.973,0.104
"macrophage","CL:0000235","Fam129a",4.2175343612414e-50,9.84414695257355e-46,7.44318798329779,0.595,0.015
"macrophage","CL:0000235","Il1b",7.51858409799938e-50,1.75491271431404e-45,7.25152502612199,0.649,0.023
"macrophage","CL:0000235","Clec7a",1.052258587999e-49,2.45607677024846e-45,7.71098267683145,0.514,0.006
"macrophage","CL:0000235","P2ry6",1.24315004894122e-49,2.90163652923369e-45,5.53754079931884,0.757,0.044
"macrophage","CL:0000235","C5ar1",1.67817382463571e-49,3.91702552408221e-45,7.67830362073046,0.757,0.044
"macrophage","CL:0000235","C3ar1",3.32699339818779e-49,7.76553529071011e-45,8.13549300584747,0.784,0.052
"macrophage","CL:0000235","Coro2a",3.84724033893269e-49,8.97984367510279e-45,4.17780467173196,0.595,0.015
"macrophage","CL:0000235","H2-DMb1",9.78055105664574e-49,2.28287842213168e-44,5.49473490530822,0.892,0.083
"macrophage","CL:0000235","Mmp12",1.41648281708621e-48,3.30621254336093e-44,9.35395343696105,0.432,0
"macrophage","CL:0000235","Nlrp3",1.41648281708621e-48,3.30621254336093e-44,5.42838635894048,0.432,0
"macrophage","CL:0000235","Rgs10",1.88260198352596e-48,4.39418128974794e-44,5.85451437948804,0.811,0.058
"macrophage","CL:0000235","Pik3ap1",2.34886621105655e-48,5.4824886232271e-44,6.61585240828046,0.541,0.01
"macrophage","CL:0000235","Fcer1g",1.31533997609785e-47,3.07013503821e-43,6.34841839190713,1,0.133
"macrophage","CL:0000235","Ptprc",8.61886691121865e-47,2.01172972574755e-42,4.40261681623056,0.946,0.1
"macrophage","CL:0000235","Slc11a1",3.01513097845075e-46,7.03761721680189e-42,7.53749027498595,0.703,0.039
"macrophage","CL:0000235","Ccl3",3.90129895775152e-46,9.10602189728783e-42,5.8927071444098,0.541,0.012
"macrophage","CL:0000235","Gm4902",7.09523042211665e-46,1.65609773282625e-41,4.35699049061711,0.757,0.046
"macrophage","CL:0000235","Fcgr2b",1.84950491212712e-45,4.31692941539591e-41,5.16537521733018,0.919,0.1
"macrophage","CL:0000235","G530011O06Rik",2.02978203124033e-45,4.73771423911806e-41,5.54914471597129,0.649,0.029
"macrophage","CL:0000235","Mrc1",1.9770842524545e-44,4.61471235365405e-40,8.57996265343041,0.595,0.023
"macrophage","CL:0000235","Ccl6",8.05205457062395e-44,1.87943005732934e-39,7.50048302187801,0.784,0.066
"macrophage","CL:0000235","Clec12a",9.39453027206762e-44,2.1927773108033e-39,8.07855199050098,0.514,0.012
"macrophage","CL:0000235","Camk1d",9.62011253088283e-44,2.24543046583336e-39,5.07356468307154,0.568,0.019
"macrophage","CL:0000235","Cyth4",1.15396919348939e-43,2.69347949452359e-39,5.98793504711773,0.784,0.064
"macrophage","CL:0000235","Cd68",1.77014605537227e-43,4.13169790784442e-39,8.92606955031278,0.946,0.135
"macrophage","CL:0000235","Pou2f2",4.40468007669506e-43,1.02809637670139e-38,4.44697186909534,0.432,0.004
"macrophage","CL:0000235","Prkcb",4.76311782537987e-43,1.11175933162192e-38,5.00449209963287,0.757,0.056
"macrophage","CL:0000235","Ebi3",4.86428714314229e-43,1.13537326208084e-38,7.65017616154944,0.432,0.004
"macrophage","CL:0000235","Fnbp1",6.07830332801981e-43,1.4187367797931e-38,4.89589882141656,0.811,0.068
"macrophage","CL:0000235","Dok3",6.20952403735946e-43,1.44936500556007e-38,3.55002718310067,0.595,0.023
"macrophage","CL:0000235","Ptpre",1.1931239955245e-42,2.78487071795373e-38,3.83599969400569,0.676,0.037
"macrophage","CL:0000235","Arhgap22",1.2008542100225e-42,2.80291381161351e-38,4.97260038972058,0.514,0.012
"macrophage","CL:0000235","Arhgap30",6.13319663502067e-42,1.43154942658017e-37,4.54570989587015,0.676,0.039
"macrophage","CL:0000235","Lcp1",1.07056082681606e-41,2.49879602587137e-37,5.21054300560186,0.973,0.147
"macrophage","CL:0000235","Fcgr3",1.07629359325367e-41,2.5121768760134e-37,6.83369616049417,0.811,0.083
"macrophage","CL:0000235","BC013712",1.35824039755775e-41,3.17026891193955e-37,6.39507771087352,0.514,0.015
"macrophage","CL:0000235","Ccr5",1.47392226913401e-41,3.4402819683857e-37,5.60819818364317,0.514,0.015
"macrophage","CL:0000235","Ifi27l2a",3.47256859358388e-41,8.10532235428414e-37,4.04777832188147,0.784,0.064
"macrophage","CL:0000235","Inpp5d",5.84014653413187e-41,1.36314860253172e-36,3.33283021833955,0.865,0.081
"macrophage","CL:0000235","Stk17b",9.38380596921179e-41,2.19027415127372e-36,3.7260984727485,0.784,0.064
"macrophage","CL:0000235","E230029C05Rik",1.38449126611652e-40,3.23154106424257e-36,6.32992347813611,0.432,0.006
"macrophage","CL:0000235","Ccdc109b",1.72894472028803e-40,4.03552987162428e-36,6.05520542648749,0.486,0.012
"macrophage","CL:0000235","Neurl3",1.88553007697363e-40,4.40101575266414e-36,5.21863583847312,0.676,0.044
"macrophage","CL:0000235","Cd83",3.83210875058426e-40,8.94452503473871e-36,6.93487593209091,0.622,0.035
"macrophage","CL:0000235","Hpgd",9.46087370879969e-40,2.20826253237094e-35,5.10193573937144,0.757,0.068
"macrophage","CL:0000235","Rassf4",1.0219834203889e-39,2.38541150152972e-35,4.60050770405341,0.595,0.029
"macrophage","CL:0000235","Cd53",1.5408151504003e-39,3.59641664254934e-35,4.01041779280602,0.973,0.149
"macrophage","CL:0000235","Pilra",2.28474089006209e-39,5.33281371149392e-35,5.56607899000107,0.459,0.01
"macrophage","CL:0000235","Fgd2",7.16383925673576e-39,1.67211172091469e-34,3.50119701906206,0.622,0.035
"macrophage","CL:0000235","Tlr7",1.64133178237213e-38,3.83103251323479e-34,5.25675977580176,0.432,0.008
"macrophage","CL:0000235","Stap1",2.34282236253113e-38,5.4683816763839e-34,5.11435069770956,0.432,0.008
"macrophage","CL:0000235","Ptchd1",9.92203799823442e-38,2.3159028891679e-33,6.28939492902813,0.459,0.012
"macrophage","CL:0000235","Cd48",1.54394354159025e-37,3.6037186204258e-33,5.09392604441225,0.676,0.052
"macrophage","CL:0000235","Evi2a",1.62467416706377e-37,3.79215197334354e-33,6.90808212527788,0.622,0.041
"macrophage","CL:0000235","Rgs2",1.96479475821227e-37,4.58602744514325e-33,4.05403040148546,0.811,0.087
"macrophage","CL:0000235","Tgfbi",3.94717033286427e-37,9.2130902739385e-33,6.04913511412197,0.73,0.071
"macrophage","CL:0000235","Abca9",4.65438780356784e-37,1.08638065723077e-32,6.59087325299305,0.514,0.021
"macrophage","CL:0000235","Lyn",4.99632110318492e-37,1.16619130869439e-32,3.66686226929374,0.892,0.116
"macrophage","CL:0000235","Unc93b1",5.35709411809389e-37,1.25039933810429e-32,4.83063053422189,0.973,0.183
"macrophage","CL:0000235","Tnfrsf1b",6.9455121517431e-37,1.62115199133836e-32,3.88022938504449,0.703,0.056
"macrophage","CL:0000235","Tnf",1.04361983238875e-36,2.43591305077858e-32,7.42125444602642,0.432,0.01
"macrophage","CL:0000235","Sirpb1a",1.14365397420667e-36,2.66940274119579e-32,7.11287814598274,0.351,0.002
"macrophage","CL:0000235","Msr1",1.14365397420667e-36,2.66940274119579e-32,6.62875477879746,0.351,0.002
"macrophage","CL:0000235","Pld4",1.39511467249877e-36,3.25633715707937e-32,7.81678055188348,0.865,0.133
"macrophage","CL:0000235","Pilrb2",1.47985220958871e-36,3.454123042401e-32,6.16435971820131,0.351,0.002
"macrophage","CL:0000235","Cadm1",1.50615268624642e-36,3.51551098496778e-32,3.74056830007377,0.73,0.064
"macrophage","CL:0000235","Atp8b4",2.01508214155463e-36,4.70340322660266e-32,4.8941854009931,0.351,0.002
"macrophage","CL:0000235","Ms4a6b",4.28913796445167e-36,1.00112769228266e-31,3.9643695719275,0.595,0.037
"macrophage","CL:0000235","H2-Eb1",4.4026405138382e-36,1.02762032233497e-31,7.07443012726528,0.946,0.185
"macrophage","CL:0000235","Ciita",4.77320773017941e-36,1.11411441630118e-31,4.46742351651117,0.432,0.01
"macrophage","CL:0000235","Igsf6",5.80090498789977e-36,1.35398923322568e-31,6.91670808928069,0.514,0.023
"macrophage","CL:0000235","Rab43",7.59282326704062e-36,1.77224087875995e-31,2.44115508812984,0.757,0.066
"macrophage","CL:0000235","Rgs1",1.45365598625872e-35,3.39297843752648e-31,5.24435213903599,0.514,0.023
"macrophage","CL:0000235","Ccl12",4.3743796157119e-35,1.02102394610331e-30,8.76478208803336,0.432,0.012
"macrophage","CL:0000235","Itgb2",5.2542716823386e-35,1.22639955337465e-30,4.22498492121054,0.784,0.091
"macrophage","CL:0000235","Cxcl16",5.6428157671088e-35,1.31708962820087e-30,4.37719596359609,0.865,0.118
"macrophage","CL:0000235","Rnase6",6.54660814054086e-35,1.52804380608364e-30,3.4015972177668,0.405,0.008
"macrophage","CL:0000235","Gpr77",9.93299051331975e-35,2.31845931571396e-30,5.4474655425995,0.514,0.025
"macrophage","CL:0000235","Sdc3",1.16026296276974e-34,2.70816978140085e-30,3.81281615456723,0.784,0.087
"macrophage","CL:0000235","9030625A04Rik",2.19147113816151e-34,5.11511278358278e-30,6.06017859149359,0.459,0.017
"macrophage","CL:0000235","Dock10",2.74815520430164e-34,6.41446906236047e-30,4.11883963870165,0.541,0.029
"macrophage","CL:0000235","Ctsc",3.55143513459516e-34,8.28940474765855e-30,4.89717653454303,0.946,0.187
"macrophage","CL:0000235","Ncf2",7.90780578507364e-34,1.84576094829404e-29,5.8858383737546,0.595,0.044
"macrophage","CL:0000235","Lpxn",9.46673472551285e-34,2.20963055228195e-29,3.95570071374607,0.568,0.035
"macrophage","CL:0000235","Csf2rb",1.39759689550238e-33,3.26213091379211e-29,6.80786025313189,0.405,0.01
"macrophage","CL:0000235","Ptpro",1.61034906387334e-33,3.75871574998676e-29,7.41533114593257,0.432,0.015
"macrophage","CL:0000235","Zmynd15",2.82398531452987e-33,6.59146412264417e-29,4.57631260638403,0.405,0.01
"macrophage","CL:0000235","H2-Aa",2.85907224032363e-33,6.67336051613939e-29,7.18559170025949,0.946,0.216
"macrophage","CL:0000235","Cd74",4.11010018677894e-33,9.59338484596072e-29,6.53095190727944,1,0.276
"macrophage","CL:0000235","Tifab",4.12404749026469e-33,9.62593924702681e-29,6.64931394136941,0.459,0.019
"macrophage","CL:0000235","Pyhin1",5.53630260223191e-33,1.29222839038695e-28,5.16754429151335,0.432,0.015
"macrophage","CL:0000235","Adrb1",8.22640799120833e-33,1.92012588922794e-28,5.67247219262315,0.378,0.008
"macrophage","CL:0000235","Cd44",8.53977776806868e-33,1.99326952884491e-28,4.23880340343723,0.568,0.037
"macrophage","CL:0000235","Adcy7",9.31564562104907e-33,2.17436484440906e-28,4.8602374439333,0.486,0.023
"macrophage","CL:0000235","E330016A19Rik",9.64069120169601e-33,2.25023373338787e-28,3.977880763256,0.486,0.023
"macrophage","CL:0000235","Cysltr1",9.77361718533524e-33,2.2812599872291e-28,6.59751339268464,0.378,0.008
"macrophage","CL:0000235","Ptprj",1.4775032843432e-32,3.44864041598545e-28,3.13725383493081,0.73,0.077
"macrophage","CL:0000235","Fam49b",1.76971380683859e-32,4.13068899654195e-28,3.29158833051216,0.757,0.087
"macrophage","CL:0000235","Myo1f",2.55389592342273e-32,5.96104847486099e-28,5.80972239479967,0.568,0.041
"macrophage","CL:0000235","Celf2",2.77411679237958e-32,6.47506600509318e-28,3.634071810221,0.811,0.11
"macrophage","CL:0000235","Akna",3.079281095666e-32,7.187350005394e-28,3.90193526159805,0.486,0.023
"macrophage","CL:0000235","Nfam1",3.57311465448953e-32,8.34000691504401e-28,7.31613489586014,0.405,0.012
"macrophage","CL:0000235","Cd300a",3.71153355180105e-32,8.66309046325884e-28,7.03141905367949,0.541,0.035
"macrophage","CL:0000235","4632428N05Rik",6.47006195739735e-32,1.51017716147611e-27,4.043215720831,0.865,0.151
"macrophage","CL:0000235","Smpdl3b",6.90961320714207e-32,1.61277281867903e-27,7.2970092950389,0.351,0.006
"macrophage","CL:0000235","Tlr13",8.64989793794084e-32,2.01897267769477e-27,6.00745124282617,0.351,0.006
"macrophage","CL:0000235","Ctss",1.03693667321243e-31,2.42031388894514e-27,6.97656698687981,1,0.311
"macrophage","CL:0000235","Itga9",1.22528635874562e-31,2.85994088994815e-27,3.69141826774319,0.649,0.058
"macrophage","CL:0000235","Lair1",1.2320335271187e-31,2.87568945564777e-27,7.6908488534813,0.649,0.066
"macrophage","CL:0000235","Ikzf1",1.4759821611799e-31,3.44508996241001e-27,3.5065739875139,0.514,0.029
"macrophage","CL:0000235","Lyz1",1.6193603814552e-31,3.77974906635459e-27,1.12063484402713,0.351,0.006
"macrophage","CL:0000235","Syk",1.78454336864742e-31,4.16530267675993e-27,3.64042413376819,0.514,0.029
"macrophage","CL:0000235","Ptger4",1.80047253131504e-31,4.20248293534244e-27,5.13810538642287,0.486,0.025
"macrophage","CL:0000235","Fgl2",2.00477559058314e-31,4.67934670598011e-27,3.62308787431532,0.595,0.046
"macrophage","CL:0000235","Was",2.76296493714902e-31,6.44903645979953e-27,2.61065499536273,0.405,0.012
"macrophage","CL:0000235","Rps6ka1",3.01575085244232e-31,7.03906406468563e-27,3.37301862747215,0.649,0.06
"macrophage","CL:0000235","Slamf8",4.0010593126025e-31,9.33887254154549e-27,6.39169863966969,0.324,0.004
"macrophage","CL:0000235","Cx3cr1",8.44158918744165e-31,1.97035133224076e-26,5.91062161533851,0.892,0.191
"macrophage","CL:0000235","Pira6",1.16182678381247e-30,2.71181989609669e-26,5.12313796082881,0.27,0
"macrophage","CL:0000235","Sla",1.19606265471934e-30,2.79172984238041e-26,4.5489739037944,0.622,0.058
"macrophage","CL:0000235","Fxyd5",1.37872956029135e-30,3.21809266667603e-26,3.73004953164165,0.973,0.224
"macrophage","CL:0000235","Asb2",2.11343810061913e-30,4.9329758706551e-26,5.71620960220552,0.405,0.015
"macrophage","CL:0000235","Coro1a",2.2884988259047e-30,5.34158510954416e-26,3.69702760264488,0.919,0.205
"macrophage","CL:0000235","Metrnl",2.53600798344369e-30,5.91929623415592e-26,3.16103550682703,0.757,0.093
"macrophage","CL:0000235","Tm6sf1",3.01695141616402e-30,7.04186630046843e-26,3.0508601339887,0.622,0.054
"macrophage","CL:0000235","Sh3bp1",3.2032467144613e-30,7.47669815622412e-26,4.64820174759498,0.459,0.023
"macrophage","CL:0000235","Rasgef1b",3.66959660587873e-30,8.56520543778155e-26,5.27595292345777,0.432,0.019
"macrophage","CL:0000235","Tbc1d9",4.82331239975144e-30,1.12580934722598e-25,4.71805733936924,0.405,0.015
"macrophage","CL:0000235","Ptpn6",8.77870396453626e-30,2.04903729236241e-25,4.06280293091251,0.811,0.122
"macrophage","CL:0000235","Mafb",1.19803567477092e-29,2.79633506848281e-25,4.95735239171644,0.73,0.1
"macrophage","CL:0000235","Dck",1.66841650104208e-29,3.89425095508231e-25,3.92311843550686,0.541,0.039
"macrophage","CL:0000235","Cxcr4",1.86245948026796e-29,4.34716667289345e-25,1.6045798990517,0.486,0.027
"macrophage","CL:0000235","Lrrc33",3.44944375448533e-29,8.05134666734421e-25,3.78779604741111,0.73,0.095
"macrophage","CL:0000235","Efhd2",3.84002848197683e-29,8.96301047978212e-25,3.56295671470223,0.838,0.151
"macrophage","CL:0000235","C1qa",5.35918026669727e-29,1.25088626604981e-24,8.26011704465397,0.946,0.261
"macrophage","CL:0000235","Trim30d",5.75149524812743e-29,1.34245650586542e-24,4.09632148575649,0.486,0.029
"macrophage","CL:0000235","Fermt3",6.27191526344984e-29,1.46392774164183e-24,5.43451096373433,0.703,0.095
"macrophage","CL:0000235","Taok3",1.05589073099281e-28,2.46455455521032e-24,3.00090442444771,0.703,0.085
"macrophage","CL:0000235","Gpr132",1.54879479173106e-28,3.61504192337947e-24,3.421625972114,0.405,0.017
"macrophage","CL:0000235","Laptm5",1.74422931203705e-28,4.07120563722568e-24,4.86230774440175,1,0.367
"macrophage","CL:0000235","Hpgds",2.56057932671862e-28,5.97664820649392e-24,6.1413189481884,0.595,0.06
"macrophage","CL:0000235","Plekho1",3.21692498755939e-28,7.50862461346236e-24,3.08080450492399,0.73,0.091
"macrophage","CL:0000235","Hk2",3.98114089897598e-28,9.29238097229984e-24,5.23783518390097,0.568,0.052
"macrophage","CL:0000235","Lyz2",4.73207783052955e-28,1.1045142864239e-23,9.02644054089915,0.973,0.359
"macrophage","CL:0000235","6330407A03Rik",5.17174604659251e-28,1.20713724473516e-23,2.62339834745097,0.405,0.017
"macrophage","CL:0000235","Slco2b1",6.01856519426526e-28,1.40479330199345e-23,4.6008914438108,0.595,0.06
"macrophage","CL:0000235","Acer3",7.57159941299174e-28,1.7672870189864e-23,4.5510971157208,0.541,0.046
"macrophage","CL:0000235","Lat2",8.26717805042118e-28,1.92964202874881e-23,4.93095483672904,0.514,0.039
"macrophage","CL:0000235","Rassf2",9.280318776565e-28,2.16611920563804e-23,4.10613059084971,0.459,0.027
"macrophage","CL:0000235","Irf8",9.34046659566305e-28,2.18015830809371e-23,3.60624453896043,0.73,0.102
"macrophage","CL:0000235","Tnfsf13b",1.02480216365467e-27,2.39199073018637e-23,5.68399034287628,0.27,0.002
"macrophage","CL:0000235","March1",1.0501774330329e-27,2.4512191464421e-23,5.67863075097882,0.405,0.019
"macrophage","CL:0000235","Sirpa",1.05243446537747e-27,2.45648728563755e-23,3.86139964989724,0.784,0.124
"macrophage","CL:0000235","Spn",1.06064425246009e-27,2.47564974966709e-23,4.82153007179783,0.351,0.01
"macrophage","CL:0000235","H2-Ab1",1.33339657038107e-27,3.11228093492646e-23,6.86739126080567,0.946,0.307
"macrophage","CL:0000235","Zeb2",1.46537088106576e-27,3.42032217349559e-23,4.14504822645502,0.595,0.058
"macrophage","CL:0000235","Adrbk2",1.58542653877322e-27,3.70054408415058e-23,3.41554320340419,0.405,0.019
"macrophage","CL:0000235","Arhgef6",2.56741875724902e-27,5.99261212129493e-23,2.92895333290222,0.459,0.027
"macrophage","CL:0000235","Csf1r",3.51533171012131e-27,8.20513574459415e-23,8.00946119329576,0.919,0.288
"macrophage","CL:0000235","Fmnl1",3.56338704540307e-27,8.3173017026753e-23,3.45782537949173,0.568,0.05
"macrophage","CL:0000235","Cebpa",3.58539992972771e-27,8.36868197597745e-23,3.30569005525536,0.541,0.046
"macrophage","CL:0000235","Ncf4",1.35132411101967e-26,3.15412560753101e-22,4.37374080932923,0.486,0.035
"macrophage","CL:0000235","Hmha1",1.38926904525561e-26,3.24269287853111e-22,2.93159503130899,0.649,0.075
"macrophage","CL:0000235","Dock8",2.03078550176264e-26,4.74005643966419e-22,2.51495729448356,0.676,0.079
"macrophage","CL:0000235","C1qc",2.11828840643475e-26,4.94429696945934e-22,8.91467521385447,0.946,0.315
"macrophage","CL:0000235","Cd33",2.125836542943e-26,4.96191507488325e-22,6.85932979654738,0.378,0.017
"macrophage","CL:0000235","Tgfbr1",2.60318618071933e-26,6.07609686441699e-22,2.9866612173986,0.676,0.087
"macrophage","CL:0000235","Rbpj",2.89467435617771e-26,6.7564594147544e-22,4.30367042509462,0.649,0.081
"macrophage","CL:0000235","Myo5a",3.24391843416951e-26,7.57163001719506e-22,2.54167790322809,0.459,0.029
"macrophage","CL:0000235","Ccr2",3.62933601961573e-26,8.47123320338507e-22,4.74031906926776,0.351,0.012
"macrophage","CL:0000235","Kctd12",3.77716426347575e-26,8.81627910737875e-22,2.94753907268286,0.892,0.168
"macrophage","CL:0000235","Vav1",4.05351768865922e-26,9.46131563709948e-22,3.81293186963634,0.514,0.044
"macrophage","CL:0000235","Cytip",4.57004439606889e-26,1.06669406248644e-21,2.60778265350668,0.622,0.066
"macrophage","CL:0000235","Il21r",5.63240583792878e-26,1.31465984663096e-21,3.9942937132053,0.378,0.017
"macrophage","CL:0000235","Zbp1",5.8538563859661e-26,1.36634861904835e-21,2.72375823476928,0.459,0.029
"macrophage","CL:0000235","Pfkfb4",7.27154858445384e-26,1.69725215509737e-21,5.24368360285267,0.297,0.006
"macrophage","CL:0000235","Fcgr1",9.10481982414052e-26,2.12515599515264e-21,7.81364131739226,0.405,0.023
"macrophage","CL:0000235","Myadm",1.07350442852053e-25,2.50566668660977e-21,2.86688912246782,0.892,0.178
"macrophage","CL:0000235","Ppp1r18",1.29930442413865e-25,3.03270645638202e-21,2.2940980126717,0.703,0.095
"macrophage","CL:0000235","Dleu2",1.52893964483435e-25,3.56869802500785e-21,0.773598990780831,0.73,0.087
"macrophage","CL:0000235","Rac2",2.17899843702974e-25,5.08600025187111e-21,3.37397550928721,0.784,0.145
